movieId,clean_title,clean_genres,year,avg_rating,rating_std,rating_count,unique_users,clean_tags,imdbId,tmdbId
1,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995,3.92,0.83,215.0,215.0,"['fun', 'pixar']",114709,862.0
2,Jumanji,"['Adventure', 'Children', 'Fantasy']",1995,3.43,0.88,110.0,110.0,"['fantasy', 'robin williams', 'magic board game', 'game']",113497,8844.0
3,Grumpier Old Men,"['Comedy', 'Romance']",1995,3.26,1.05,52.0,52.0,"['old', 'moldy']",113228,15602.0
4,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",1995,2.36,0.85,7.0,7.0,[],114885,31357.0
5,Father of the Bride Part II,['Comedy'],1995,3.07,0.91,49.0,49.0,"['remake', 'pregnancy']",113041,11862.0
6,Heat,"['Action', 'Crime', 'Thriller']",1995,3.95,0.82,102.0,102.0,[],113277,949.0
7,Sabrina,"['Comedy', 'Romance']",1995,3.19,0.98,54.0,54.0,['remake'],114319,11860.0
8,Tom and Huck,"['Adventure', 'Children']",1995,2.88,1.13,8.0,8.0,[],112302,45325.0
9,Sudden Death,['Action'],1995,3.12,0.97,16.0,16.0,[],114576,9091.0
10,GoldenEye,"['Action', 'Adventure', 'Thriller']",1995,3.5,0.86,132.0,132.0,[],113189,710.0
11,American President The,"['Comedy', 'Drama', 'Romance']",1995,3.67,0.9,70.0,70.0,"['president', 'politics']",112346,9087.0
12,Dracula Dead and Loving It,"['Comedy', 'Horror']",1995,2.42,1.25,19.0,19.0,[],112896,12110.0
13,Balto,"['Adventure', 'Animation', 'Children']",1995,3.12,0.64,8.0,8.0,[],112453,21032.0
14,Nixon,['Drama'],1995,3.83,0.71,18.0,18.0,"['president', 'politics']",113987,10858.0
15,Cutthroat Island,"['Action', 'Adventure', 'Romance']",1995,3.0,1.21,13.0,13.0,[],112760,1408.0
16,Casino,"['Crime', 'Drama']",1995,3.93,0.89,82.0,82.0,['mafia'],112641,524.0
17,Sense and Sensibility,"['Drama', 'Romance']",1995,3.78,1.15,67.0,67.0,['jane austen'],114388,4584.0
18,Four Rooms,['Comedy'],1995,3.7,0.91,20.0,20.0,[],113101,5.0
19,Ace Ventura When Nature Calls,['Comedy'],1995,2.73,1.06,88.0,88.0,[],112281,9273.0
20,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995,2.5,0.98,15.0,15.0,[],113845,11517.0
21,Get Shorty,"['Comedy', 'Crime', 'Thriller']",1995,3.49,0.87,89.0,89.0,['hollywood'],113161,8012.0
22,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",1995,3.22,0.82,36.0,36.0,['serial killer'],112722,1710.0
23,Assassins,"['Action', 'Crime', 'Thriller']",1995,3.12,1.12,16.0,16.0,[],112401,9691.0
24,Powder,"['Drama', 'Sci-Fi']",1995,3.12,1.01,28.0,28.0,[],114168,12665.0
25,Leaving Las Vegas,"['Drama', 'Romance']",1995,3.62,1.12,76.0,76.0,['alcoholism'],113627,451.0
26,Othello,['Drama'],1995,3.5,0.61,13.0,13.0,['shakespeare'],114057,16420.0
27,Now and Then,"['Children', 'Drama']",1995,3.33,1.2,9.0,9.0,[],114011,9263.0
28,Persuasion,"['Drama', 'Romance']",1995,4.23,0.79,11.0,11.0,"['in netflix queue', 'jane austen']",114117,17015.0
29,City of Lost Children The Cité des enfants perdus La,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1995,4.01,0.83,38.0,38.0,['kidnapping'],112682,902.0
30,Shanghai Triad Yao a yao yao dao waipo qiao,"['Crime', 'Drama']",1995,3.0,1.73,3.0,3.0,[],115012,37557.0
31,Dangerous Minds,['Drama'],1995,3.18,0.99,38.0,38.0,"['high school', 'teacher']",112792,9909.0
32,Twelve Monkeys aka 12 Monkeys,"['Mystery', 'Sci-Fi', 'Thriller']",1995,3.98,0.79,177.0,177.0,"['brad pitt', 'remake', 'postapocalyptic', 'time travel', 'mindfuck', 'bruce willis', 'twist ending', 'post apocalyptic']",114746,63.0
34,Babe,"['Children', 'Drama']",1995,3.65,1.04,128.0,128.0,"['animal movie', 'pigs', 'villain nonexistent or not needed for good story']",112431,9598.0
36,Dead Man Walking,"['Crime', 'Drama']",1995,3.84,0.94,67.0,67.0,"['death penalty', 'nun']",112818,687.0
38,It Takes Two,"['Children', 'Comedy']",1995,2.12,0.85,4.0,4.0,['twins'],113442,33689.0
39,Clueless,"['Comedy', 'Romance']",1995,3.29,1.04,104.0,104.0,"['funny', 'jane austen', 'seen more than once', 'chick flick', 'emma', 'paul rudd', 'quotable']",112697,9603.0
