movie_id,chunk_id,chunk_text,embedding_id,global_id
1,0,Title: Toy Story,0,0
1,1,"Genres: Adventure, Animation, Children, Comedy, Fantasy",0,1
1,2,Average rating: 3.9/5.0 from 215 ratings,0,2
1,3,"Tags: fun, pixar",0,3
1,4,Release year: 1995,0,4
2,0,Title: Jumanji,1,5
2,1,"Genres: Adventure, Children, Fantasy",1,6
2,2,Average rating: 3.4/5.0 from 110 ratings,1,7
2,3,"Tags: fantasy, robin williams, magic board game, game",1,8
2,4,Release year: 1995,1,9
3,0,Title: Grumpier Old Men,2,10
3,1,"Genres: Comedy, Romance",2,11
3,2,Average rating: 3.3/5.0 from 52 ratings,2,12
3,3,"Tags: old, moldy",2,13
3,4,Release year: 1995,2,14
4,0,Title: Waiting to Exhale,3,15
4,1,"Genres: Comedy, Drama, Romance",3,16
4,2,Average rating: 2.4/5.0 from 7 ratings,3,17
4,3,Release year: 1995,3,18
5,0,Title: Father of the Bride Part II,4,19
5,1,Genres: Comedy,4,20
5,2,Average rating: 3.1/5.0 from 49 ratings,4,21
5,3,"Tags: remake, pregnancy",4,22
5,4,Release year: 1995,4,23
6,0,Title: Heat,5,24
6,1,"Genres: Action, Crime, Thriller",5,25
6,2,Average rating: 4.0/5.0 from 102 ratings,5,26
6,3,Release year: 1995,5,27
7,0,Title: Sabrina,6,28
7,1,"Genres: Comedy, Romance",6,29
7,2,Average rating: 3.2/5.0 from 54 ratings,6,30
7,3,Tags: remake,6,31
7,4,Release year: 1995,6,32
8,0,Title: Tom and Huck,7,33
8,1,"Genres: Adventure, Children",7,34
8,2,Average rating: 2.9/5.0 from 8 ratings,7,35
8,3,Release year: 1995,7,36
9,0,Title: Sudden Death,8,37
9,1,Genres: Action,8,38
9,2,Average rating: 3.1/5.0 from 16 ratings,8,39
9,3,Release year: 1995,8,40
10,0,Title: GoldenEye,9,41
10,1,"Genres: Action, Adventure, Thriller",9,42
10,2,Average rating: 3.5/5.0 from 132 ratings,9,43
10,3,Release year: 1995,9,44
11,0,Title: American President The,10,45
11,1,"Genres: Comedy, Drama, Romance",10,46
11,2,Average rating: 3.7/5.0 from 70 ratings,10,47
11,3,"Tags: president, politics",10,48
11,4,Release year: 1995,10,49
12,0,Title: Dracula Dead and Loving It,11,50
12,1,"Genres: Comedy, Horror",11,51
12,2,Average rating: 2.4/5.0 from 19 ratings,11,52
12,3,Release year: 1995,11,53
13,0,Title: Balto,12,54
13,1,"Genres: Adventure, Animation, Children",12,55
13,2,Average rating: 3.1/5.0 from 8 ratings,12,56
13,3,Release year: 1995,12,57
14,0,Title: Nixon,13,58
14,1,Genres: Drama,13,59
14,2,Average rating: 3.8/5.0 from 18 ratings,13,60
14,3,"Tags: president, politics",13,61
14,4,Release year: 1995,13,62
15,0,Title: Cutthroat Island,14,63
15,1,"Genres: Action, Adventure, Romance",14,64
15,2,Average rating: 3.0/5.0 from 13 ratings,14,65
15,3,Release year: 1995,14,66
16,0,Title: Casino,15,67
16,1,"Genres: Crime, Drama",15,68
16,2,Average rating: 3.9/5.0 from 82 ratings,15,69
16,3,Tags: mafia,15,70
16,4,Release year: 1995,15,71
17,0,Title: Sense and Sensibility,16,72
17,1,"Genres: Drama, Romance",16,73
17,2,Average rating: 3.8/5.0 from 67 ratings,16,74
17,3,Tags: jane austen,16,75
17,4,Release year: 1995,16,76
18,0,Title: Four Rooms,17,77
18,1,Genres: Comedy,17,78
18,2,Average rating: 3.7/5.0 from 20 ratings,17,79
18,3,Release year: 1995,17,80
19,0,Title: Ace Ventura When Nature Calls,18,81
19,1,Genres: Comedy,18,82
19,2,Average rating: 2.7/5.0 from 88 ratings,18,83
19,3,Release year: 1995,18,84
20,0,Title: Money Train,19,85
20,1,"Genres: Action, Comedy, Crime, Drama, Thriller",19,86
20,2,Average rating: 2.5/5.0 from 15 ratings,19,87
20,3,Release year: 1995,19,88
21,0,Title: Get Shorty,20,89
21,1,"Genres: Comedy, Crime, Thriller",20,90
21,2,Average rating: 3.5/5.0 from 89 ratings,20,91
21,3,Tags: hollywood,20,92
21,4,Release year: 1995,20,93
22,0,Title: Copycat,21,94
22,1,"Genres: Crime, Drama, Horror, Mystery, Thriller",21,95
22,2,Average rating: 3.2/5.0 from 36 ratings,21,96
22,3,Tags: serial killer,21,97
22,4,Release year: 1995,21,98
23,0,Title: Assassins,22,99
23,1,"Genres: Action, Crime, Thriller",22,100
23,2,Average rating: 3.1/5.0 from 16 ratings,22,101
23,3,Release year: 1995,22,102
24,0,Title: Powder,23,103
24,1,"Genres: Drama, Sci-Fi",23,104
24,2,Average rating: 3.1/5.0 from 28 ratings,23,105
24,3,Release year: 1995,23,106
25,0,Title: Leaving Las Vegas,24,107
25,1,"Genres: Drama, Romance",24,108
25,2,Average rating: 3.6/5.0 from 76 ratings,24,109
25,3,Tags: alcoholism,24,110
25,4,Release year: 1995,24,111
26,0,Title: Othello,25,112
26,1,Genres: Drama,25,113
26,2,Average rating: 3.5/5.0 from 13 ratings,25,114
26,3,Tags: shakespeare,25,115
26,4,Release year: 1995,25,116
27,0,Title: Now and Then,26,117
27,1,"Genres: Children, Drama",26,118
27,2,Average rating: 3.3/5.0 from 9 ratings,26,119
27,3,Release year: 1995,26,120
28,0,Title: Persuasion,27,121
28,1,"Genres: Drama, Romance",27,122
28,2,Average rating: 4.2/5.0 from 11 ratings,27,123
28,3,"Tags: in netflix queue, jane austen",27,124
28,4,Release year: 1995,27,125
29,0,Title: City of Lost Children The Cité des enfants perdus La,28,126
29,1,"Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi",28,127
29,2,Average rating: 4.0/5.0 from 38 ratings,28,128
29,3,Tags: kidnapping,28,129
29,4,Release year: 1995,28,130
30,0,Title: Shanghai Triad Yao a yao yao dao waipo qiao,29,131
30,1,"Genres: Crime, Drama",29,132
30,2,Average rating: 3.0/5.0 from 3 ratings,29,133
30,3,Release year: 1995,29,134
31,0,Title: Dangerous Minds,30,135
31,1,Genres: Drama,30,136
31,2,Average rating: 3.2/5.0 from 38 ratings,30,137
31,3,"Tags: high school, teacher",30,138
31,4,Release year: 1995,30,139
32,0,Title: Twelve Monkeys aka 12 Monkeys,31,140
32,1,"Genres: Mystery, Sci-Fi, Thriller",31,141
32,2,Average rating: 4.0/5.0 from 177 ratings,31,142
32,3,"Tags: brad pitt, remake, postapocalyptic, time travel, mindfuck, bruce willis, twist ending, post apocalyptic",31,143
32,4,Release year: 1995,31,144
34,0,Title: Babe,32,145
34,1,"Genres: Children, Drama",32,146
34,2,Average rating: 3.6/5.0 from 128 ratings,32,147
34,3,"Tags: animal movie, pigs, villain nonexistent or not needed for good story",32,148
34,4,Release year: 1995,32,149
36,0,Title: Dead Man Walking,33,150
36,1,"Genres: Crime, Drama",33,151
36,2,Average rating: 3.8/5.0 from 67 ratings,33,152
36,3,"Tags: death penalty, nun",33,153
36,4,Release year: 1995,33,154
38,0,Title: It Takes Two,34,155
38,1,"Genres: Children, Comedy",34,156
38,2,Average rating: 2.1/5.0 from 4 ratings,34,157
38,3,Tags: twins,34,158
38,4,Release year: 1995,34,159
39,0,Title: Clueless,35,160
39,1,"Genres: Comedy, Romance",35,161
39,2,Average rating: 3.3/5.0 from 104 ratings,35,162
39,3,"Tags: funny, jane austen, seen more than once, chick flick, emma, paul rudd, quotable",35,163
39,4,Release year: 1995,35,164
40,0,Title: Cry the Beloved Country,36,165
40,1,Genres: Drama,36,166
40,2,Average rating: 4.2/5.0 from 2 ratings,36,167
40,3,"Tags: in netflix queue, south africa",36,168
40,4,Release year: 1995,36,169
41,0,Title: Richard III,37,170
41,1,"Genres: Drama, War",37,171
41,2,Average rating: 3.7/5.0 from 15 ratings,37,172
41,3,Tags: shakespeare,37,173
41,4,Release year: 1995,37,174
42,0,Title: Dead Presidents,38,175
42,1,"Genres: Action, Crime, Drama",38,176
42,2,Average rating: 3.0/5.0 from 7 ratings,38,177
42,3,Release year: 1995,38,178
43,0,Title: Restoration,39,179
43,1,Genres: Drama,39,180
43,2,Average rating: 3.2/5.0 from 8 ratings,39,181
43,3,Tags: england,39,182
43,4,Release year: 1995,39,183
44,0,Title: Mortal Kombat,40,184
44,1,"Genres: Action, Adventure, Fantasy",40,185
44,2,Average rating: 2.5/5.0 from 46 ratings,40,186
44,3,Release year: 1995,40,187
45,0,Title: To Die For,41,188
45,1,"Genres: Comedy, Drama, Thriller",41,189
45,2,Average rating: 3.3/5.0 from 32 ratings,41,190
45,3,Tags: journalism,41,191
45,4,Release year: 1995,41,192
46,0,Title: How to Make an American Quilt,42,193
46,1,"Genres: Drama, Romance",42,194
46,2,Average rating: 3.1/5.0 from 15 ratings,42,195
46,3,Tags: wedding,42,196
46,4,Release year: 1995,42,197
47,0,Title: Seven aka Se7en,43,198
47,1,"Genres: Mystery, Thriller",43,199
47,2,Average rating: 4.0/5.0 from 203 ratings,43,200
47,3,"Tags: twist ending, serial killer, mystery",43,201
47,4,Release year: 1995,43,202
48,0,Title: Pocahontas,44,203
48,1,"Genres: Animation, Children, Drama, Musical, Romance",44,204
48,2,Average rating: 3.1/5.0 from 68 ratings,44,205
48,3,Release year: 1995,44,206
49,0,Title: When Night Is Falling,45,207
49,1,"Genres: Drama, Romance",45,208
49,2,Average rating: 3.0/5.0 from 1 ratings,45,209
49,3,Release year: 1995,45,210
50,0,Title: Usual Suspects The,46,211
50,1,"Genres: Crime, Mystery, Thriller",46,212
50,2,Average rating: 4.2/5.0 from 204 ratings,46,213
50,3,"Tags: suspense, tricky, mindfuck, heist, twist ending, thriller",46,214
50,4,Release year: 1995,46,215
52,0,Title: Mighty Aphrodite,47,216
52,1,"Genres: Comedy, Drama, Romance",47,217
52,2,Average rating: 3.5/5.0 from 28 ratings,47,218
52,3,"Tags: prostitution, adoption",47,219
52,4,Release year: 1995,47,220
53,0,Title: Lamerica,48,221
53,1,"Genres: Adventure, Drama",48,222
53,2,Average rating: 5.0/5.0 from 2 ratings,48,223
53,3,Release year: 1994,48,224
54,0,Title: Big Green The,49,225
54,1,"Genres: Children, Comedy",49,226
54,2,Average rating: 2.3/5.0 from 3 ratings,49,227
54,3,Release year: 1995,49,228
55,0,Title: Georgia,50,229
55,1,Genres: Drama,50,230
55,2,Average rating: 4.0/5.0 from 1 ratings,50,231
55,3,Release year: 1995,50,232
57,0,Title: Home for the Holidays,51,233
57,1,Genres: Drama,51,234
57,2,Average rating: 3.1/5.0 from 8 ratings,51,235
57,3,Release year: 1995,51,236
58,0,Title: Postman The Postino Il,52,237
58,1,"Genres: Comedy, Drama, Romance",52,238
58,2,Average rating: 4.0/5.0 from 37 ratings,52,239
58,3,Tags: writing,52,240
58,4,Release year: 1994,52,241
60,0,Title: Indian in the Cupboard The,53,242
60,1,"Genres: Adventure, Children, Fantasy",53,243
60,2,Average rating: 3.2/5.0 from 34 ratings,53,244
60,3,Release year: 1995,53,245
61,0,Title: Eye for an Eye,54,246
61,1,"Genres: Drama, Thriller",54,247
61,2,Average rating: 3.8/5.0 from 6 ratings,54,248
61,3,Release year: 1996,54,249
62,0,Title: Mr Hollands Opus,55,250
62,1,Genres: Drama,55,251
62,2,Average rating: 3.7/5.0 from 80 ratings,55,252
62,3,Tags: music,55,253
62,4,Release year: 1995,55,254
63,0,Title: Dont Be a Menace to South Central While Drinking Your Juice in the Hood,56,255
63,1,"Genres: Comedy, Crime",56,256
63,2,Average rating: 2.7/5.0 from 7 ratings,56,257
63,3,Release year: 1996,56,258
64,0,Title: Two if by Sea,57,259
64,1,"Genres: Comedy, Romance",57,260
64,2,Average rating: 2.2/5.0 from 5 ratings,57,261
64,3,Release year: 1996,57,262
65,0,Title: Bio-Dome,58,263
65,1,Genres: Comedy,58,264
65,2,Average rating: 2.5/5.0 from 31 ratings,58,265
65,3,Release year: 1996,58,266
66,0,Title: Lawnmower Man 2 Beyond Cyberspace,59,267
66,1,"Genres: Action, Sci-Fi, Thriller",59,268
66,2,Average rating: 2.5/5.0 from 9 ratings,59,269
66,3,Release year: 1996,59,270
68,0,Title: French Twist Gazon maudit,60,271
68,1,"Genres: Comedy, Romance",60,272
68,2,Average rating: 3.4/5.0 from 5 ratings,60,273
68,3,Release year: 1995,60,274
69,0,Title: Friday,61,275
69,1,Genres: Comedy,61,276
69,2,Average rating: 3.8/5.0 from 20 ratings,61,277
69,3,Release year: 1995,61,278
70,0,Title: From Dusk Till Dawn,62,279
70,1,"Genres: Action, Comedy, Horror, Thriller",62,280
70,2,Average rating: 3.5/5.0 from 55 ratings,62,281
70,3,Release year: 1996,62,282
71,0,Title: Fair Game,63,283
71,1,Genres: Action,63,284
71,2,Average rating: 1.7/5.0 from 5 ratings,63,285
71,3,Release year: 1995,63,286
72,0,Title: Kicking and Screaming,64,287
72,1,"Genres: Comedy, Drama",64,288
72,2,Average rating: 3.2/5.0 from 7 ratings,64,289
72,3,Release year: 1995,64,290
73,0,Title: Misérables Les,65,291
73,1,"Genres: Drama, War",65,292
73,2,Average rating: 3.5/5.0 from 13 ratings,65,293
73,3,Release year: 1995,65,294
74,0,Title: Bed of Roses,66,295
74,1,"Genres: Drama, Romance",66,296
74,2,Average rating: 4.0/5.0 from 8 ratings,66,297
74,3,Release year: 1996,66,298
75,0,Title: Big Bully,67,299
75,1,"Genres: Comedy, Drama",67,300
75,2,Average rating: 2.2/5.0 from 5 ratings,67,301
75,3,Release year: 1996,67,302
76,0,Title: Screamers,68,303
76,1,"Genres: Action, Sci-Fi, Thriller",68,304
76,2,Average rating: 3.4/5.0 from 15 ratings,68,305
76,3,Release year: 1995,68,306
77,0,Title: Nico Icon,69,307
77,1,Genres: Documentary,69,308
77,2,Average rating: 4.0/5.0 from 1 ratings,69,309
77,3,Release year: 1995,69,310
78,0,Title: Crossing Guard The,70,311
78,1,"Genres: Action, Crime, Drama, Thriller",70,312
78,2,Average rating: 3.3/5.0 from 3 ratings,70,313
78,3,Release year: 1995,70,314
79,0,Title: Juror The,71,315
79,1,"Genres: Drama, Thriller",71,316
79,2,Average rating: 2.8/5.0 from 17 ratings,71,317
79,3,Release year: 1996,71,318
80,0,Title: White Balloon The Badkonake sefid,72,319
80,1,"Genres: Children, Drama",72,320
80,2,Average rating: 4.0/5.0 from 2 ratings,72,321
80,3,Release year: 1995,72,322
81,0,Title: Things to Do in Denver When Youre Dead,73,323
81,1,"Genres: Crime, Drama, Romance",73,324
81,2,Average rating: 3.1/5.0 from 14 ratings,73,325
81,3,Release year: 1995,73,326
82,0,Title: Antonias Line Antonia,74,327
82,1,"Genres: Comedy, Drama",74,328
82,2,Average rating: 3.9/5.0 from 8 ratings,74,329
82,3,Release year: 1995,74,330
83,0,Title: Once Upon a Time When We Were Colored,75,331
83,1,"Genres: Drama, Romance",75,332
83,2,Average rating: 3.0/5.0 from 1 ratings,75,333
83,3,Release year: 1995,75,334
85,0,Title: Angels and Insects,76,335
85,1,"Genres: Drama, Romance",76,336
85,2,Average rating: 3.9/5.0 from 7 ratings,76,337
85,3,Release year: 1995,76,338
86,0,Title: White Squall,77,339
86,1,"Genres: Action, Adventure, Drama",77,340
86,2,Average rating: 4.0/5.0 from 15 ratings,77,341
86,3,Release year: 1996,77,342
87,0,Title: Dunston Checks In,78,343
